SMILES0,seg0_feat0,DP,density,Rg,self-diffusion,Cp,dielectric_const_dc,refractive_index
*C(=O)CC(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O*,26,26,1.155381005,19.90037256,3.56e-13,2771.75911,2.915414008,1.567073237
*C(=O)c1ccc(cc1)C(=O)OCC(C)(C)C(C(C)C)O*,25,25,1.057504164,19.42027719,8.43e-13,3409.862353,2.57494598,1.501003785
*C(=O)c1ccc(cc1)C(=O)OCC(CC(C1)C2C3)C1C2CC3CO*,22,22,1.125382734,23.39790394,1.18e-12,3254.841115,2.64612971,1.529625826
*C(=O)c1ccc(cc1)C(=O)OC(C)C(C)O*,35,35,1.149662716,20.9170241,3.68e-13,2857.35474,2.695457136,1.53724537
*C(=O)c1ccc(cc1)C(=O)OC(CC1)CCC1O*,31,31,1.141355176,18.83642503,3.24e-13,2929.590717,2.651009294,1.526009925
*C(=O)c1ccc(cc1)C(=O)Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O*,22,22,1.218666122,25.47457913,1.42e-12,2634.417587,3.017540801,1.595107806
*C(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O*,16,16,1.098397748,23.28736092,8.78e-13,3021.711786,2.93138765,1.599767391
*C(=O)c1ccc(cc1)C(=O)Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O*,17,17,1.040446237,25.31810524,4.37e-13,2991.980832,2.590508057,1.549302411
*C(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)C2(CCCCC2)c3ccc(cc3)O*,19,19,1.134972711,24.89731032,6.18e-13,2927.167118,2.884382733,1.600936777
*C(=O)c1ccc(cc1)C(=O)Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O*,21,21,1.188908702,17.94066566,5.36e-13,2597.619354,2.981125138,1.64130807
*C(=O)COC(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O*,17,17,1.120347825,22.95246236,3.22e-13,2995.925867,2.752188453,1.564491833
*C(=O)c(cccc1)c1C(=O)OC(C1CO1)C(C2CO2)O*,31,31,1.261181518,18.550246,7.43e-13,2684.802134,4.000064126,1.52266055
*C(=O)c(cccc1)c1C(=O)OC/C=C/CO*,38,38,1.225356413,21.05192533,6.94e-13,2989.841869,3.260534839,1.577997263
*C(=O)C(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O*,18,18,1.107400063,22.32282184,5.52e-13,2925.941671,2.784663475,1.567208866
*C(=O)c(cccc1)c1C(=O)Oc1c(ccc2)c(ccc1)c2O*,31,31,1.249516123,21.07326598,5.12e-13,2604.986678,3.15283418,1.649143196
*C(=O)COC(=O)Oc1ccc(cc1)Sc2ccc(cc2)O*,32,32,1.313630972,19.79047952,3.01e-13,2388.209446,3.148169592,1.625360208
*C(=O)COC(=O)OCCSCCO*,43,43,1.308110851,21.20667638,4.99e-13,2625.077496,3.046452305,1.485381025
*C(=O)C(=O)Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O*,24,24,1.173963823,21.88827915,3.47e-13,2700.671659,2.86969901,1.596520194
*C(=O)C(=O)OC(CC1)CCC1C(C)(C)C(CC2)CCC2O*,21,21,1.027156186,18.48109562,2.02e-13,3458.387232,2.426404659,1.444548128
*C(=O)C(=O)OC(CS1)SCC1O*,55,55,1.399223309,21.41494094,3.84e-13,2173.157424,2.947125437,1.511004324
*C(=O)C(=O)OCCCCCCCCCCO*,28,28,1.043049446,23.36738155,1.79e-12,3653.15245,2.645534011,1.440669152
*C(=O)C(=O)OCC(CC)(CC)CO*,37,37,1.084270981,18.28765081,5.46e-13,3107.078347,2.481382087,1.437540402
*C(=O)C(=O)OCC(CC(C1)C2C3)C1C2CC3CO*,28,28,1.151690341,20.33528469,6.16e-13,3392.252409,2.651338146,1.479672244
*C(=O)CC(=O)Oc1ccc(cc1)Cc2ccc(cc2)O*,31,31,1.206904296,21.13276954,9.1e-13,2893.701975,3.056594718,1.589418927
