topology,glob_feat0,Index,rigid_ratio,polar_ratio,SMILES0,SMILES1,SMILES2,SMILES3,SMILES4,SMILES5,SMILES6,SMILES7,seg0_feat0,seg1_feat0,seg2_feat0,seg3_feat0,seg4_feat0,seg5_feat0,seg6_feat0,seg7_feat0,chain_node_seg_id,chain_edges,chain_node_types,chem_profile_id,mix_mode,density,Rg,D,S_q_peak,nematic_order,dielectric_constant,refractive_index,fold
linear,300,4,0.474576271,1.0,*CC#N,*CCNC(=O)CC*,*CCS(=O)(=O)CC*,,,,,,2,29.0,28.0,0.0,0.0,0.0,0.0,0.0,"[0, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 0]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [20, 21], [21, 22], [22, 23], [23, 24], [24, 25], [25, 26], [26, 27], [27, 28], [28, 29], [29, 30], [30, 31], [31, 32], [32, 33], [33, 34], [34, 35], [35, 36], [36, 37], [37, 38], [38, 39], [39, 40], [40, 41], [41, 42], [42, 43], [43, 44], [44, 45], [45, 46], [46, 47], [47, 48], [48, 49], [49, 50], [50, 51], [51, 52], [52, 53], [53, 54], [54, 55], [55, 56], [56, 57], [57, 58]]","{""57"": ""deg2_amide"", ""56"": ""deg2_sulfone"", ""55"": ""deg2_amide"", ""54"": ""deg2_sulfone"", ""53"": ""deg2_amide"", ""52"": ""deg2_sulfone"", ""51"": ""deg2_amide"", ""50"": ""deg2_sulfone"", ""49"": ""deg2_amide"", ""48"": ""deg2_sulfone"", ""47"": ""deg2_amide"", ""46"": ""deg2_sulfone"", ""45"": ""deg2_amide"", ""44"": ""deg2_sulfone"", ""43"": ""deg2_amide"", ""42"": ""deg2_sulfone"", ""41"": ""deg2_amide"", ""40"": ""deg2_sulfone"", ""39"": ""deg2_amide"", ""38"": ""deg2_sulfone"", ""37"": ""deg2_amide"", ""36"": ""deg2_sulfone"", ""35"": ""deg2_amide"", ""34"": ""deg2_sulfone"", ""33"": ""deg2_amide"", ""32"": ""deg2_sulfone"", ""31"": ""deg2_amide"", ""30"": ""deg2_sulfone"", ""29"": ""deg2_amide"", ""28"": ""deg2_sulfone"", ""27"": ""deg2_amide"", ""26"": ""deg2_sulfone"", ""25"": ""deg2_amide"", ""24"": ""deg2_sulfone"", ""23"": ""deg2_amide"", ""22"": ""deg2_sulfone"", ""21"": ""deg2_amide"", ""20"": ""deg2_sulfone"", ""19"": ""deg2_amide"", ""18"": ""deg2_sulfone"", ""17"": ""deg2_amide"", ""16"": ""deg2_sulfone"", ""15"": ""deg2_amide"", ""14"": ""deg2_sulfone"", ""13"": ""deg2_amide"", ""12"": ""deg2_sulfone"", ""11"": ""deg2_amide"", ""10"": ""deg2_sulfone"", ""9"": ""deg2_amide"", ""8"": ""deg2_sulfone"", ""7"": ""deg2_amide"", ""6"": ""deg2_sulfone"", ""5"": ""deg2_amide"", ""4"": ""deg2_sulfone"", ""3"": ""deg2_amide"", ""2"": ""deg2_sulfone"", ""1"": ""deg2_amide"", ""0"": ""deg1_cyanoethyl_cap"", ""58"": ""deg1_cyanoethyl_cap""}",2.0,alternating,1.186119032,19.9164401,1.22e-15,3.101866654,0.3481389112980908,1.744275111,1.3658403439320288,3
star,300,9,0.0,0.5,*Cc1ccccc1,*c1ccc(-c2nc3cc(-c4ccc5nc(*)c(-c6ccccc6)nc5c4)ccc3nc2-c2ccccc2)cc1,*N=P(*)(OCC(F)(F)F)OCC(F)(F)F,C(*)(*)(*)*,,,,,4,12.0,13.0,1.0,0.0,0.0,0.0,0.0,"[0, 1, 2, 1, 2, 1, 2, 1, 3, 2, 1, 2, 1, 2, 1, 0, 2, 1, 2, 1, 2, 1, 0, 2, 1, 2, 1, 2, 2, 0]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [8, 16], [8, 23], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [16, 17], [17, 18], [18, 19], [19, 20], [20, 21], [21, 22], [23, 24], [24, 25], [25, 26], [26, 27], [27, 28], [28, 29]]","{""0"": ""deg1_benzyl_cap"", ""1"": ""deg2_PI819"", ""2"": ""deg2_PI823"", ""3"": ""deg2_PI819"", ""4"": ""deg2_PI823"", ""5"": ""deg2_PI819"", ""6"": ""deg2_PI823"", ""7"": ""deg2_PI819"", ""8"": ""deg4_aliphatic"", ""9"": ""deg2_PI823"", ""10"": ""deg2_PI819"", ""11"": ""deg2_PI823"", ""12"": ""deg2_PI819"", ""13"": ""deg2_PI823"", ""14"": ""deg2_PI819"", ""15"": ""deg1_benzyl_cap"", ""16"": ""deg2_PI823"", ""17"": ""deg2_PI819"", ""18"": ""deg2_PI823"", ""19"": ""deg2_PI819"", ""20"": ""deg2_PI823"", ""21"": ""deg2_PI819"", ""22"": ""deg1_benzyl_cap"", ""23"": ""deg2_PI823"", ""24"": ""deg2_PI819"", ""25"": ""deg2_PI823"", ""26"": ""deg2_PI819"", ""27"": ""deg2_PI823"", ""28"": ""deg2_PI823"", ""29"": ""deg1_benzyl_cap""}",2.0,alternating,1.087348132,21.25267195,2.28e-15,2.882199988,0.2993516875890272,1.299860241,1.4847961009765396,3
star,300,10,1.0,0.0,*CC,*OC(=O)c1cc2c(cc1)cc(cc2)C(=O)OCC*,*Cc1cc(C*)cc(C*)c1,,,,,,3,36.0,1.0,0.0,0.0,0.0,0.0,0.0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [13, 27], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [20, 21], [21, 22], [22, 23], [23, 24], [24, 25], [25, 26], [27, 28], [28, 29], [29, 30], [30, 31], [31, 32], [32, 33], [33, 34], [34, 35], [35, 36], [36, 37], [37, 38], [38, 39]]","{""0"": ""deg1_alkyl_cap"", ""1"": ""deg2_PI569"", ""2"": ""deg2_PI569"", ""3"": ""deg2_PI569"", ""4"": ""deg2_PI569"", ""5"": ""deg2_PI569"", ""6"": ""deg2_PI569"", ""7"": ""deg2_PI569"", ""8"": ""deg2_PI569"", ""9"": ""deg2_PI569"", ""10"": ""deg2_PI569"", ""11"": ""deg2_PI569"", ""12"": ""deg2_PI569"", ""13"": ""deg3_benzyl_spacer"", ""14"": ""deg2_PI569"", ""15"": ""deg2_PI569"", ""16"": ""deg2_PI569"", ""17"": ""deg2_PI569"", ""18"": ""deg2_PI569"", ""19"": ""deg2_PI569"", ""20"": ""deg2_PI569"", ""21"": ""deg2_PI569"", ""22"": ""deg2_PI569"", ""23"": ""deg2_PI569"", ""24"": ""deg2_PI569"", ""25"": ""deg2_PI569"", ""26"": ""deg1_alkyl_cap"", ""27"": ""deg2_PI569"", ""28"": ""deg2_PI569"", ""29"": ""deg2_PI569"", ""30"": ""deg2_PI569"", ""31"": ""deg2_PI569"", ""32"": ""deg2_PI569"", ""33"": ""deg2_PI569"", ""34"": ""deg2_PI569"", ""35"": ""deg2_PI569"", ""36"": ""deg2_PI569"", ""37"": ""deg2_PI569"", ""38"": ""deg2_PI569"", ""39"": ""deg1_alkyl_cap""}",1.0,block,1.187471867,22.30571376,2.35e-15,3.970653253,0.3253279632565572,1.240833803,1.5153335434801212,0
comb,300,100,0.894736842,0.929824561,*CCOC,*CCS(=O)(=O)CC*,*Cc1cc(C*)cc(C*)c1,*CCOc1ccc(OCC*)cc1,,,,,6,26.0,4.0,21.0,0.0,0.0,0.0,0.0,"[0, 1, 1, 1, 1, 1, 1, 1, 2, 3, 0, 1, 1, 1, 1, 2, 3, 3, 3, 3, 3, 3, 3, 0, 1, 1, 1, 1, 1, 2, 3, 3, 3, 3, 3, 3, 3, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 0, 3, 3, 3, 3, 3, 3, 0]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [8, 11], [9, 10], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [15, 24], [16, 17], [17, 18], [18, 19], [19, 20], [20, 21], [21, 22], [22, 23], [24, 25], [25, 26], [26, 27], [27, 28], [28, 29], [29, 30], [29, 38], [30, 31], [31, 32], [32, 33], [33, 34], [34, 35], [35, 36], [36, 37], [38, 39], [39, 40], [40, 41], [41, 42], [42, 43], [42, 50], [43, 44], [44, 45], [45, 46], [46, 47], [47, 48], [48, 49], [50, 51], [51, 52], [52, 53], [53, 54], [54, 55], [55, 56]]","{""8"": ""deg3_benzyl_spacer"", ""15"": ""deg3_benzyl_spacer"", ""29"": ""deg3_benzyl_spacer"", ""42"": ""deg3_benzyl_spacer"", ""1"": ""deg2_sulfone"", ""2"": ""deg2_sulfone"", ""3"": ""deg2_sulfone"", ""4"": ""deg2_sulfone"", ""5"": ""deg2_sulfone"", ""6"": ""deg2_sulfone"", ""7"": ""deg2_sulfone"", ""11"": ""deg2_sulfone"", ""12"": ""deg2_sulfone"", ""13"": ""deg2_sulfone"", ""14"": ""deg2_sulfone"", ""24"": ""deg2_sulfone"", ""25"": ""deg2_sulfone"", ""26"": ""deg2_sulfone"", ""27"": ""deg2_sulfone"", ""28"": ""deg2_sulfone"", ""38"": ""deg2_sulfone"", ""39"": ""deg2_sulfone"", ""40"": ""deg2_sulfone"", ""41"": ""deg2_sulfone"", ""43"": ""deg2_sulfone"", ""44"": ""deg2_sulfone"", ""45"": ""deg2_sulfone"", ""46"": ""deg2_sulfone"", ""47"": ""deg2_sulfone"", ""48"": ""deg2_sulfone"", ""9"": ""deg2_phenoxyethyl"", ""16"": ""deg2_phenoxyethyl"", ""17"": ""deg2_phenoxyethyl"", ""18"": ""deg2_phenoxyethyl"", ""19"": ""deg2_phenoxyethyl"", ""20"": ""deg2_phenoxyethyl"", ""21"": ""deg2_phenoxyethyl"", ""22"": ""deg2_phenoxyethyl"", ""30"": ""deg2_phenoxyethyl"", ""31"": ""deg2_phenoxyethyl"", ""32"": ""deg2_phenoxyethyl"", ""33"": ""deg2_phenoxyethyl"", ""34"": ""deg2_phenoxyethyl"", ""35"": ""deg2_phenoxyethyl"", ""36"": ""deg2_phenoxyethyl"", ""50"": ""deg2_phenoxyethyl"", ""51"": ""deg2_phenoxyethyl"", ""52"": ""deg2_phenoxyethyl"", ""53"": ""deg2_phenoxyethyl"", ""54"": ""deg2_phenoxyethyl"", ""55"": ""deg2_phenoxyethyl"", ""0"": ""deg1_methoxyethyl_cap"", ""10"": ""deg1_methoxyethyl_cap"", ""23"": ""deg1_methoxyethyl_cap"", ""37"": ""deg1_methoxyethyl_cap"", ""49"": ""deg1_methoxyethyl_cap"", ""56"": ""deg1_methoxyethyl_cap""}",1.0,junction_enriched,1.156660344,21.95747118,3.01e-15,3.885395241,0.4133799942182108,1.789022368,1.4139658364321033,4
star,300,9,0.5,0.0,*CC,*c1ccc(-c2nc3cc(-c4ccc5nc(*)c(-c6ccccc6)nc5c4)ccc3nc2-c2ccccc2)cc1,*CCOCC*,C(*)(*)(*)*,,,,,4,13.0,12.0,1.0,0.0,0.0,0.0,0.0,"[0, 1, 1, 2, 2, 1, 1, 2, 3, 1, 1, 2, 2, 2, 1, 0, 2, 2, 2, 2, 1, 1, 0, 1, 2, 1, 1, 1, 2, 0]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [8, 16], [8, 23], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [16, 17], [17, 18], [18, 19], [19, 20], [20, 21], [21, 22], [23, 24], [24, 25], [25, 26], [26, 27], [27, 28], [28, 29]]","{""0"": ""deg1_alkyl_cap"", ""1"": ""deg2_PI819"", ""2"": ""deg2_PI819"", ""3"": ""deg2_ether"", ""4"": ""deg2_ether"", ""5"": ""deg2_PI819"", ""6"": ""deg2_PI819"", ""7"": ""deg2_ether"", ""8"": ""deg4_aliphatic"", ""9"": ""deg2_PI819"", ""10"": ""deg2_PI819"", ""11"": ""deg2_ether"", ""12"": ""deg2_ether"", ""13"": ""deg2_ether"", ""14"": ""deg2_PI819"", ""15"": ""deg1_alkyl_cap"", ""16"": ""deg2_ether"", ""17"": ""deg2_ether"", ""18"": ""deg2_ether"", ""19"": ""deg2_ether"", ""20"": ""deg2_PI819"", ""21"": ""deg2_PI819"", ""22"": ""deg1_alkyl_cap"", ""23"": ""deg2_PI819"", ""24"": ""deg2_ether"", ""25"": ""deg2_PI819"", ""26"": ""deg2_PI819"", ""27"": ""deg2_PI819"", ""28"": ""deg2_ether"", ""29"": ""deg1_alkyl_cap""}",2.0,random,1.061926444,21.40698938,3.76e-15,3.990932724,0.3550368819404615,1.199914464,1.6222533562387431,3
cyclic,300,42,0.5,1.0,*Cc1ccncc1C*,*CCNC(=O)CC*,,,,,,,34,34.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[[0, 1], [0, 67], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [20, 21], [21, 22], [22, 23], [23, 24], [24, 25], [25, 26], [26, 27], [27, 28], [28, 29], [29, 30], [30, 31], [31, 32], [32, 33], [33, 34], [34, 35], [35, 36], [36, 37], [37, 38], [38, 39], [39, 40], [40, 41], [41, 42], [42, 43], [43, 44], [44, 45], [45, 46], [46, 47], [47, 48], [48, 49], [49, 50], [50, 51], [51, 52], [52, 53], [53, 54], [54, 55], [55, 56], [56, 57], [57, 58], [58, 59], [59, 60], [60, 61], [61, 62], [62, 63], [63, 64], [64, 65], [65, 66], [66, 67]]","{""0"": ""deg2_pyridylmethylene"", ""1"": ""deg2_amide"", ""2"": ""deg2_pyridylmethylene"", ""3"": ""deg2_amide"", ""4"": ""deg2_pyridylmethylene"", ""5"": ""deg2_amide"", ""6"": ""deg2_pyridylmethylene"", ""7"": ""deg2_amide"", ""8"": ""deg2_pyridylmethylene"", ""9"": ""deg2_amide"", ""10"": ""deg2_pyridylmethylene"", ""11"": ""deg2_amide"", ""12"": ""deg2_pyridylmethylene"", ""13"": ""deg2_amide"", ""14"": ""deg2_pyridylmethylene"", ""15"": ""deg2_amide"", ""16"": ""deg2_pyridylmethylene"", ""17"": ""deg2_amide"", ""18"": ""deg2_pyridylmethylene"", ""19"": ""deg2_amide"", ""20"": ""deg2_pyridylmethylene"", ""21"": ""deg2_amide"", ""22"": ""deg2_pyridylmethylene"", ""23"": ""deg2_amide"", ""24"": ""deg2_pyridylmethylene"", ""25"": ""deg2_amide"", ""26"": ""deg2_pyridylmethylene"", ""27"": ""deg2_amide"", ""28"": ""deg2_pyridylmethylene"", ""29"": ""deg2_amide"", ""30"": ""deg2_pyridylmethylene"", ""31"": ""deg2_amide"", ""32"": ""deg2_pyridylmethylene"", ""33"": ""deg2_amide"", ""34"": ""deg2_pyridylmethylene"", ""35"": ""deg2_amide"", ""36"": ""deg2_pyridylmethylene"", ""37"": ""deg2_amide"", ""38"": ""deg2_pyridylmethylene"", ""39"": ""deg2_amide"", ""40"": ""deg2_pyridylmethylene"", ""41"": ""deg2_amide"", ""42"": ""deg2_pyridylmethylene"", ""43"": ""deg2_amide"", ""44"": ""deg2_pyridylmethylene"", ""45"": ""deg2_amide"", ""46"": ""deg2_pyridylmethylene"", ""47"": ""deg2_amide"", ""48"": ""deg2_pyridylmethylene"", ""49"": ""deg2_amide"", ""50"": ""deg2_pyridylmethylene"", ""51"": ""deg2_amide"", ""52"": ""deg2_pyridylmethylene"", ""53"": ""deg2_amide"", ""54"": ""deg2_pyridylmethylene"", ""55"": ""deg2_amide"", ""56"": ""deg2_pyridylmethylene"", ""57"": ""deg2_amide"", ""58"": ""deg2_pyridylmethylene"", ""59"": ""deg2_amide"", ""60"": ""deg2_pyridylmethylene"", ""61"": ""deg2_amide"", ""62"": ""deg2_pyridylmethylene"", ""63"": ""deg2_amide"", ""64"": ""deg2_pyridylmethylene"", ""65"": ""deg2_amide"", ""66"": ""deg2_pyridylmethylene"", ""67"": ""deg2_amide""}",1.0,random,1.093182127,17.76699969,1.42e-14,2.681480993,0.3231719851207018,1.46193997,1.40414497801361,3
cyclic,300,5,0.0,0.5,*OC(=O)c1cc2c(cc1)cc(cc2)C(=O)OCC*,*c1cc(CCCC)c(*)s1,,,,,,,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[[0, 1], [0, 39], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [20, 21], [21, 22], [22, 23], [23, 24], [24, 25], [25, 26], [26, 27], [27, 28], [28, 29], [29, 30], [30, 31], [31, 32], [32, 33], [33, 34], [34, 35], [35, 36], [36, 37], [37, 38], [38, 39]]","{""0"": ""deg2_PI569"", ""1"": ""deg2_PI919"", ""2"": ""deg2_PI569"", ""3"": ""deg2_PI919"", ""4"": ""deg2_PI569"", ""5"": ""deg2_PI919"", ""6"": ""deg2_PI569"", ""7"": ""deg2_PI919"", ""8"": ""deg2_PI569"", ""9"": ""deg2_PI919"", ""10"": ""deg2_PI569"", ""11"": ""deg2_PI919"", ""12"": ""deg2_PI569"", ""13"": ""deg2_PI919"", ""14"": ""deg2_PI569"", ""15"": ""deg2_PI919"", ""16"": ""deg2_PI569"", ""17"": ""deg2_PI919"", ""18"": ""deg2_PI569"", ""19"": ""deg2_PI919"", ""20"": ""deg2_PI569"", ""21"": ""deg2_PI919"", ""22"": ""deg2_PI569"", ""23"": ""deg2_PI919"", ""24"": ""deg2_PI569"", ""25"": ""deg2_PI919"", ""26"": ""deg2_PI569"", ""27"": ""deg2_PI919"", ""28"": ""deg2_PI569"", ""29"": ""deg2_PI919"", ""30"": ""deg2_PI569"", ""31"": ""deg2_PI919"", ""32"": ""deg2_PI569"", ""33"": ""deg2_PI919"", ""34"": ""deg2_PI569"", ""35"": ""deg2_PI919"", ""36"": ""deg2_PI569"", ""37"": ""deg2_PI919"", ""38"": ""deg2_PI569"", ""39"": ""deg2_PI919""}",1.0,alternating,1.133173814,24.94935303,1.71e-14,3.78283507,0.4001317750112133,1.177443142,1.474938717617944,2
cyclic,300,4,0.0,0.5,*c1ccc(-c2nc3cc(-c4ccc5nc(*)c(-c6ccccc6)nc5c4)ccc3nc2-c2ccccc2)cc1,*CCS(=O)(=O)CC*,,,,,,,15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[[0, 1], [0, 29], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [20, 21], [21, 22], [22, 23], [23, 24], [24, 25], [25, 26], [26, 27], [27, 28], [28, 29]]","{""0"": ""deg2_PI819"", ""1"": ""deg2_sulfone"", ""2"": ""deg2_PI819"", ""3"": ""deg2_sulfone"", ""4"": ""deg2_PI819"", ""5"": ""deg2_sulfone"", ""6"": ""deg2_PI819"", ""7"": ""deg2_sulfone"", ""8"": ""deg2_PI819"", ""9"": ""deg2_sulfone"", ""10"": ""deg2_PI819"", ""11"": ""deg2_sulfone"", ""12"": ""deg2_PI819"", ""13"": ""deg2_sulfone"", ""14"": ""deg2_PI819"", ""15"": ""deg2_sulfone"", ""16"": ""deg2_PI819"", ""17"": ""deg2_sulfone"", ""18"": ""deg2_PI819"", ""19"": ""deg2_sulfone"", ""20"": ""deg2_PI819"", ""21"": ""deg2_sulfone"", ""22"": ""deg2_PI819"", ""23"": ""deg2_sulfone"", ""24"": ""deg2_PI819"", ""25"": ""deg2_sulfone"", ""26"": ""deg2_PI819"", ""27"": ""deg2_sulfone"", ""28"": ""deg2_PI819"", ""29"": ""deg2_sulfone""}",2.0,alternating,1.095222139,17.93094277,1.82e-14,3.711936259,0.5051856511542606,1.194316721,1.60840521296893,4
cyclic,300,4,0.5,0.5,*CCS(=O)(=O)CC*,*c1ccc(-c2nc3cc(-c4ccc5nc(*)c(-c6ccccc6)nc5c4)ccc3nc2-c2ccccc2)cc1,,,,,,,15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[[0, 1], [0, 29], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [20, 21], [21, 22], [22, 23], [23, 24], [24, 25], [25, 26], [26, 27], [27, 28], [28, 29]]","{""0"": ""deg2_sulfone"", ""1"": ""deg2_PI819"", ""2"": ""deg2_sulfone"", ""3"": ""deg2_PI819"", ""4"": ""deg2_sulfone"", ""5"": ""deg2_PI819"", ""6"": ""deg2_sulfone"", ""7"": ""deg2_PI819"", ""8"": ""deg2_sulfone"", ""9"": ""deg2_PI819"", ""10"": ""deg2_sulfone"", ""11"": ""deg2_PI819"", ""12"": ""deg2_sulfone"", ""13"": ""deg2_PI819"", ""14"": ""deg2_sulfone"", ""15"": ""deg2_PI819"", ""16"": ""deg2_sulfone"", ""17"": ""deg2_PI819"", ""18"": ""deg2_sulfone"", ""19"": ""deg2_PI819"", ""20"": ""deg2_sulfone"", ""21"": ""deg2_PI819"", ""22"": ""deg2_sulfone"", ""23"": ""deg2_PI819"", ""24"": ""deg2_sulfone"", ""25"": ""deg2_PI819"", ""26"": ""deg2_sulfone"", ""27"": ""deg2_PI819"", ""28"": ""deg2_sulfone"", ""29"": ""deg2_PI819""}",1.0,alternating,1.034478928,18.16730242,2.23e-14,3.212185191,0.5264774178655818,1.232621135,1.567235464605249,0
star,300,8,0.5,1.0,*CCOC,*c1ccc(-c2nc3cc(-c4ccc5nc(*)c(-c6ccccc6)nc5c4)ccc3nc2-c2ccccc2)cc1,*Cc1ccc(C*)cc1,*Cc1ncc(C*)cc1C*,,,,,3,13.0,13.0,1.0,0.0,0.0,0.0,0.0,"[0, 1, 2, 2, 1, 2, 2, 1, 1, 2, 3, 1, 2, 1, 1, 1, 2, 2, 1, 0, 1, 1, 2, 1, 1, 2, 2, 2, 2, 0]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [10, 20], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [20, 21], [21, 22], [22, 23], [23, 24], [24, 25], [25, 26], [26, 27], [27, 28], [28, 29]]","{""0"": ""deg1_methoxyethyl_cap"", ""1"": ""deg2_PI819"", ""2"": ""deg2_xylylene"", ""3"": ""deg2_xylylene"", ""4"": ""deg2_PI819"", ""5"": ""deg2_xylylene"", ""6"": ""deg2_xylylene"", ""7"": ""deg2_PI819"", ""8"": ""deg2_PI819"", ""9"": ""deg2_xylylene"", ""10"": ""deg3_pyridyl_spacer"", ""11"": ""deg2_PI819"", ""12"": ""deg2_xylylene"", ""13"": ""deg2_PI819"", ""14"": ""deg2_PI819"", ""15"": ""deg2_PI819"", ""16"": ""deg2_xylylene"", ""17"": ""deg2_xylylene"", ""18"": ""deg2_PI819"", ""19"": ""deg1_methoxyethyl_cap"", ""20"": ""deg2_PI819"", ""21"": ""deg2_PI819"", ""22"": ""deg2_xylylene"", ""23"": ""deg2_PI819"", ""24"": ""deg2_PI819"", ""25"": ""deg2_xylylene"", ""26"": ""deg2_xylylene"", ""27"": ""deg2_xylylene"", ""28"": ""deg2_xylylene"", ""29"": ""deg1_methoxyethyl_cap""}",2.0,random,1.029776096,21.37313968,2.51e-14,3.276703924,0.3405219841673087,1.116131757,1.5989525700352094,4
