row_idx,group_id,stratum,fold
0,2d6eee686ca435e9d9d4c5f7a8ac63785ccb1cd984ece47a501eb8ad561b6d5c,linear|T300,3
1,5b35bf4abd66480511fc56fd823538172d6609a9eee39cc388be4617ea77b2a5,star|T300,3
2,6ea5ef1286e800df666d2a122d7161f1e249658ce68ef3f677d22eb1ed68cacf,star|T300,0
3,724dff9a38809e9568d318a56e5b1c2ecd2e610f9615319ac7879a1b8747640c,comb|T300,4
4,cfe19799c68e4ac813c227ea891d6406f05663bd51c4be95167c55522c4f4ca3,star|T300,3
5,83eadcf386d19eda226ed74f99a95762bbbeae4eb9eaf2892e5893da9176d55a,cyclic|T300,3
6,6d721baeda37a38087f2dba9e2a3731ccff67800d7ddf72e65f4506d25148462,cyclic|T300,2
7,da50d047c6d370291e71587488a521895ccbf03cde4a3cdda9103104009449ef,cyclic|T300,4
8,eee268220abe134f3e49c67124a6d563868438277686d18bd3048cf5ad021da3,cyclic|T300,0
9,098f55c0f43d8635370ac2f80d4c1fd07de61da94d370a0c8819c556a93a5336,star|T300,4
10,c8fb395457207b7ee80ace6d6bee4c02cae81b9850f436eda84360b70d97a055,linear|T300,0
11,b8f73f3c6f1f875c1204bf97e9b8a02b808b30e6d6ac61f45c79e648b7417d22,linear|T300,0
12,255180e8f8800b3b049d5d758f4d1ba84bea1a3df2a7fbbaf546056cfc7b2511,cyclic|T300,1
13,46b30d1dec82852c38df7e4b3b5dba5fea71dc650782a4555146cee6cff1b674,branch|T300,1
14,690d1811d817a64b79cdc21ec879601ef992819334ab1836a8786936139589f6,star|T300,3
15,98f09314ff9ae355e34ff93df7d18354092e64acfa307fe5c81f00b48504f48e,branch|T300,3
16,c1c767e8d4bfd7e18ae4e1be63b38225cc44eca7a7aa297c14dcc9d724cd49df,star|T300,3
17,77bcb71c5ad48a4581092e6f3c0a19d5277c17ed315ac019e85a05a8b51224df,linear|T300,0
18,b6588aea52c2def252041f0eb2b30954cc89e661043f49b6d5b7ff1f7ba45721,star|T300,2
19,9fae9ebf61533db0968cf27de046bd0fe64f417e697614f2df665c7121a5f6a6,cyclic|T300,2
20,36925c427b0b7b0826450b8ba2ea7fdfc03aeb8fd6e2ae02cbead4efd5d27436,cyclic|T300,0
21,2ceb7469b21b38c0ef50dfa90ecc522732ca35c9693cb76ba2da0e35424b990f,cyclic|T300,3
22,79ba741b2e75d43c9c9c9cdf63a6579c0102120d17da5934897e80ba25d1c07d,star|T300,3
23,a91ebcb015e6acb871058a64dc7e5b7e738c04aadc8dc8f7c9a3e3841e9b9325,linear|T300,0
24,71111592eb0cb559b4c5edbe7e03b97f5b1bf91c2dedd11ee4ae0b3fd7bcdb78,cyclic|T300,4
25,bde6ff35ac833b0d9a534b10a26ed4261ddd94f6613e4cac33f103e7e214854b,linear|T300,2
26,0cf8a56b449aec0a3bb28ecc4eb1c0fcbdc4510e7f79e21f5d4ddf1119de7cc6,star|T300,3
27,7e69cf650d213cdd4d889242ffb4b92037f28fe78a6d10c2c5c691ff600ec06f,comb|T300,2
28,052c87cfa7d468f565d2dc3f47d62a069ce76aa6d5119d4b02b1a4a928273414,star|T300,0
29,d301bf63e356d357866156151da11099063e962889a94a652a8d853c06dccebd,star|T300,3
30,7a08d2528046d8347cbed8a98261c3951b5ef5b50eb7302788de08aaccc69c99,linear|T300,0
31,3674552da1d05266dc40d66478fb64e453b1a183684c8a4113fe71c85961b28d,linear|T300,0
32,cca57b533486fc9bb146c2b0b740d6ef98261fabea89569f2da89467c590f3d5,star|T300,4
33,9bafcd9a581d1ca7bebe3fdcc5f0d7e531b8989b54e8354e9190e9f627ddd6fa,star|T300,2
34,ec7ec3e874c74330e73b6842aa959d73adf94cbf52e22ca20f88f836a2370db7,linear|T300,0
35,8ca7de746bc1a36ea089eff98c14ad1c050f4573719e338243403517fb90ff04,star|T300,4
36,86e8c7909f762e52222df44021c1374ac919c4b47c445926a3a05c25aa36adf2,linear|T300,1
37,918d6e6613f7cb1b2bfc9b965da97da8fc588bddc63cfe5c2b4e64de6f31d1e7,cyclic|T300,2
38,ffa763c440560816feb5387464189e7957f1f6e9a53802d95261aeb9eaa336e9,linear|T300,4
39,164db931cc323c0169e515192937b11e7920a5288e0492d748ad4c69a67d7934,linear|T300,1
40,ba1e38fee7706763d502e8a2e14854c1abe6c1cbf0386cd294c4b07e482f9c0c,star|T300,4
41,21af87b44d538c34bd5fc7420f01669b41a46185f10d16969b97890aeab3b1e3,star|T300,3
42,2ce57edec2fe76010acee40c2c3c7ffe74b99e5d8136ba3fb0e1bb71a50d164e,cyclic|T300,4
43,f9bc3b7363c01f5357d9986efd28e4932fb3b8e25aa4761315f46800b4d78cd4,star|T300,4
44,a7c6d3bc115f0262d35215570eeca8409555331c2c43108b790f2f09b418bd48,linear|T300,3
45,f5477de27b26f74afb80efdcf1837ce040384998ab83cd6e168f30cadb01db75,cyclic|T300,3
46,dd7ff16ab9a2f5fb82c16da57fe7d0ff707ca954baa961f39066190ee7fae2a1,star|T300,2
47,dfceff6d1e6a11c1e3678854a9c4c8782801b22436ac52d897b1db90cb2aa828,star|T300,4
48,f438ead5a1f60ad1ecaf51cc3dd256ff31bfaadd47dc8306f53c46a57b5656ec,comb|T300,3
49,42bbfe5d208f1b8d848a2ba69d579f924727761eda8c68149ae6abc0a823dd51,branch|T300,3
50,e2015de28c95be9ca74bb39fab00a985e852248ffbdc43a395196af1b4f7b262,branch|T300,0
51,2a7dc6d78f875c0b650c55ffffcbc2872ad268b7c17389113482d3ceb760b46f,linear|T300,1
52,e877a1c57e1e170464a63eefeb66568182bcab11a6d9bb0b37c51169a4c99308,linear|T300,2
53,75767a484f1668bf443e8ea5c2403733db759be81f2221f710d8e53e8e155c23,branch|T300,4
54,307907e975d3348e9de21869d89195a2f821742ed1253ba3e77651ea71c9c3ed,cyclic|T300,1
55,e60fe72ad32a76b6a95322d27f9f858930a05e76056ab5748825641042fca2c7,cyclic|T300,1
56,0b3ee03f050d539e1bdd802c754ccb80af41ed70bc2a1cc74d7294b81e455ed5,cyclic|T300,3
57,4e3e1cca6b311030a0b8601d8542fe764a8b0a1c1f350a821ac24967a41329fc,star|T300,4
58,de7a2d56aaea4b1c57851833d1c661c9a65b7fee93a63efee85f7c2793bd7cb2,branch|T300,1
59,917ee852fbdf676b06021bba3bc50c2092ae24652ec05a8b40f352083a62561e,cyclic|T300,0
60,10424bb63f3f6d17f4073ee6947930377330ce459603a2be57383830a63eb13c,cyclic|T300,0
61,3e8d15e0455786935810e448a9e1239b8f3d568f1e32b4d3068415f0284a0fe6,star|T300,2
